specialty_id,specialty_name,minimum_total_gme_years,representative_total_gme_years,task_wrvu_per_total_physician_hour,nih_grants_per_active_physician_per_year,nih_funding_thousand_usd_per_active_physician_per_year,private_practice_percent,average_total_compensation_usd,physicians_per_1000_relevant_patients,candidates_per_position,female_resident_percent,procedure_profile,procedure_intensity
forensic-psychiatry,"Forensic Psychiatry",5.000000000,5.000000000,2.450000048,5.0000000745e-2,21.70000076,45.20000076,351000.0000,0.7067796610,0.7280000000,46.80851100,predominantly-clinical,0.000000000
geriatric-psychiatry,"Geriatric Psychiatry",5.000000000,5.000000000,2.450000048,5.0000000745e-2,21.70000076,45.20000076,351000.0000,0.1297577855,1.141494436,64.10256400,predominantly-clinical,0.000000000
consultation-liaison-psychiatry,"Consultation-Liaison Psychiatry",5.000000000,5.000000000,2.450000048,5.0000000745e-2,21.70000076,45.20000076,351000.0000,0.7067796610,0.6842105263,47.41379300,predominantly-clinical,0.000000000
abdominal-radiology,"Abdominal Radiology",6.000000000,6.000000000,3.119999886,2.5000000373e-2,10.30000019,46.90000153,691000.0000,0.3875000000,1.119085174,47.82608700,predominantly-clinical,0.000000000
musculoskeletal-radiology,"Musculoskeletal Radiology",6.000000000,6.000000000,3.119999886,2.5000000373e-2,10.30000019,46.90000153,691000.0000,0.3875000000,0.7660550459,28.12500000,predominantly-clinical,0.000000000
neuroradiology,"Neuroradiology",6.000000000,6.000000000,3.119999886,2.5000000373e-2,10.30000019,46.90000153,691000.0000,0.3875000000,0.9174311927,20.00000000,predominantly-clinical,0.000000000
nuclear-radiology,"Nuclear Radiology",6.000000000,6.000000000,3.119999886,2.5000000373e-2,10.30000019,46.90000153,691000.0000,0.3875000000,1.119085174,23.07692300,predominantly-clinical,0.000000000
pediatric-radiology,"Pediatric Radiology",6.000000000,6.000000000,3.119999886,2.5000000373e-2,10.30000019,46.90000153,265000.0000,0.8260958904,1.119085174,32.14285700,predominantly-clinical,0.000000000
complex-general-surgical-oncology,"Complex General Surgical Oncology",7.000000000,7.000000000,2.502799988,3.2000001520e-2,12.69999981,51.20000076,513000.0000,0.2389000000,1.441558442,45.92592600,procedure-dominant,1.000000000
pediatric-surgery,"Pediatric Surgery",7.000000000,7.000000000,2.599999905,2.9999999329e-2,13.60000038,51.20000076,265000.0000,0.8260958904,1.404255319,57.30337100,procedure-dominant,1.000000000
surgical-critical-care,"Surgical Critical Care",4.000000000,6.000000000,2.502799988,3.2000001520e-2,12.69999981,51.20000076,513000.0000,2.280701754,0.8630136986,50.13404800,mixed-procedural-clinical,0.5000000000
vascular-surgery-independent,"Vascular Surgery - Independent",7.000000000,7.000000000,2.502799988,3.2000001520e-2,12.69999981,51.20000076,513000.0000,0.4235294118,1.226277372,34.87544500,procedure-dominant,1.000000000
congenital-cardiac-surgery,"Congenital Cardiac Surgery",9.000000000,9.000000000,2.502799988,3.2000001520e-2,12.69999981,51.20000076,513000.0000,0.2175206612,1.731958763,36.36363600,procedure-dominant,1.000000000
pediatric-urology,"Pediatric Urology",7.000000000,7.000000000,3.345799923,1.4999999665e-2,5.800000191,51.20000076,265000.0000,0.8260958904,0.9771793943,43.24324300,procedure-dominant,1.000000000
